Generation,Fitness
0,20.21
1,20.64
2,21.21
3,21.27
4,21.06
5,21.37
6,21.57
7,21.47
8,21.56
9,21.57
10,21.77
11,21.97
12,22.34
13,22.23
14,22.5
15,22.78
16,22.77
17,22.46
18,22.58
19,22.51
20,22.8
21,22.83
22,22.82
23,22.75
24,22.53
25,22.4
26,22.51
27,22.46
28,22.53
29,22.61
30,22.5
31,22.46
32,22.69
33,22.75
34,22.63
35,22.56
36,22.51
37,22.55
38,22.54
39,22.51
40,22.48
41,22.52
42,22.63
43,22.51
44,22.76
45,22.78
46,22.65
47,22.82
48,22.65
49,22.61
50,22.82
51,22.82
52,22.95
53,23.23
54,23.38
55,23.41
56,23.41
57,23.53
58,23.45
59,23.55
60,23.27
61,23.38
62,23.11
63,23.14
64,23.18
65,23.45
66,23.58
67,23.51
68,23.57
69,23.39
70,23.04
71,23.07
72,23.0
73,22.99
74,23.06
75,23.07
76,23.42
77,23.5
78,23.65
79,23.5
80,23.54
81,23.97
82,23.83
83,23.81
84,23.89
85,23.72
86,23.69
87,23.91
88,23.76
89,23.68
90,23.95
91,24.02
92,24.28
93,23.94
94,23.9
95,23.52
96,23.59
97,23.7
98,23.82
99,24.0
100,24.04
101,23.96
102,23.65
103,23.97
104,23.98
105,24.34
106,24.46
107,24.63
108,24.5
109,24.69
110,24.55
111,24.61
112,24.55
113,24.69
114,24.46
115,24.49
116,24.41
117,24.26
118,24.01
119,24.15
120,24.09
121,24.08
122,24.05
123,23.96
124,24.16
125,24.24
126,24.4
127,24.18
128,24.12
129,24.34
130,24.74
131,24.83
132,24.56
133,24.48
134,24.42
135,24.61
136,24.39
137,24.27
138,24.58
139,24.66
140,24.67
141,24.69
142,24.82
143,24.6
144,24.5
145,24.49
146,24.51
147,24.31
148,24.28
149,24.2
150,24.15
151,24.27
152,24.13
153,24.33
154,24.46
155,24.38
156,24.41
157,24.53
158,24.55
159,24.53
160,24.5
161,24.64
162,24.41
163,24.35
164,24.54
165,24.5
166,24.71
167,24.53
168,24.61
169,24.46
170,24.61
171,24.69
172,24.54
173,24.72
174,24.96
175,25.0
176,25.17
177,24.92
178,25.12
179,24.95
180,24.99
181,24.77
182,24.88
183,24.76
184,24.86
185,24.91
186,24.59
187,24.71
188,24.46
189,24.42
190,24.29
191,24.19
192,24.21
193,23.92
194,23.96
195,23.95
196,23.87
197,23.93
198,23.65
199,23.43
200,23.19
201,23.08
202,23.47
203,23.42
204,23.39
205,23.48
206,23.38
207,23.58
208,23.96
209,23.97
210,23.81
211,24.01
212,24.13
213,24.32
214,24.39
215,24.48
216,24.57
217,25.14
218,25.23
219,25.45
220,25.21
221,24.93
222,24.82
223,24.79
224,24.48
225,24.59
226,24.35
227,24.59
228,24.73
229,25.15
230,25.13
231,25.07
232,24.97
233,24.98
234,24.95
235,25.06
236,25.01
237,24.7
238,24.77
239,24.64
240,24.93
241,25.1
242,25.14
243,24.93
244,24.81
245,24.82
246,24.57
247,24.3
248,24.39
249,24.32
250,24.5
251,24.51
252,24.42
253,24.68
254,24.51
255,24.47
256,24.57
257,24.29
258,24.27
259,24.22
260,24.63
261,24.44
262,24.53
263,24.69
264,24.98
265,24.88
266,24.84
267,25.04
268,25.11
269,25.21
270,25.07
271,25.05
272,24.95
273,25.01
274,25.11
275,24.95
276,24.92
277,24.82
278,24.84
279,24.6
280,24.65
281,24.6
282,24.33
283,24.35
284,24.53
285,24.51
286,24.49
287,24.27
288,24.25
289,24.32
290,24.36
291,24.74
292,24.52
293,24.59
294,24.76
295,24.82
296,24.75
297,24.75
298,24.99
299,24.65
300,24.83
301,24.73
302,24.56
303,24.74
304,24.62
305,24.4
306,24.69
307,24.69
308,24.54
309,24.73
310,24.79
311,24.68
312,25.01
313,25.3
314,25.34
315,25.19
316,25.0
317,25.2
318,25.22
319,25.22
320,25.2
321,25.2
322,25.14
323,25.4
324,25.33
325,25.37
326,25.2
327,25.48
328,25.52
329,25.4
330,25.18
331,25.16
332,25.38
333,25.35
334,25.23
335,25.35
336,25.16
337,25.13
338,25.28
339,25.41
340,25.15
341,25.22
342,25.29
343,25.5
344,25.16
345,24.89
346,25.09
347,25.28
348,25.34
349,25.22
350,25.19
351,25.43
352,25.13
353,25.06
354,25.06
355,25.19
356,25.18
357,25.24
358,25.13
359,25.21
360,25.45
361,25.68
362,25.7
363,25.37
364,25.7
365,25.46
366,25.19
367,24.96
368,24.96
369,24.97
370,24.86
371,24.79
372,24.66
373,24.57
374,24.61
375,24.83
376,24.66
377,24.43
378,24.36
379,24.24
380,24.31
381,24.18
382,24.01
383,24.38
384,24.66
385,24.55
386,24.56
387,24.37
388,24.16
389,24.46
390,24.62
391,24.87
392,25.08
393,25.27
394,25.15
395,25.13
396,24.96
397,24.84
398,24.89
399,24.99
400,24.69
401,24.59
402,24.62
403,24.82
404,24.79
405,24.69
406,24.62
407,24.63
408,24.6
409,25.03
410,24.93
411,25.04
412,25.26
413,25.12
414,25.26
415,25.14
416,24.81
417,24.64
418,24.74
419,24.78
420,24.99
421,24.96
422,25.24
423,25.11
424,24.97
425,24.93
426,24.85
427,24.6
428,24.69
429,24.67
430,24.75
431,24.69
432,24.38
433,24.57
434,24.59
435,24.98
436,25.0
437,25.01
438,25.07
439,24.78
440,24.83
441,24.78
442,24.96
443,24.94
444,24.69
445,24.78
446,24.86
447,24.66
448,24.56
449,24.66
450,24.91
451,24.91
452,24.82
453,24.95
454,24.67
455,24.54
456,24.37
457,24.74
458,24.44
459,24.41
460,24.46
461,24.47
462,24.6
463,24.72
464,24.92
465,25.01
466,25.13
467,25.21
468,25.07
469,24.85
470,25.04
471,25.12
472,24.84
473,24.84
474,24.57
475,24.48
476,24.57
477,24.62
478,24.84
479,24.97
480,24.89
481,24.62
482,24.86
483,24.85
484,24.8
485,24.56
486,24.5
487,24.44
488,24.4
489,24.3
490,24.43
491,24.46
492,24.68
493,24.69
494,24.58
495,24.37
496,24.18
497,24.19
498,24.09
499,24.12
500,24.25
501,24.48
502,24.45
503,24.28
504,24.18
505,23.73
506,23.95
507,23.94
508,23.87
509,24.33
510,24.53
511,24.82
512,24.82
513,24.98
514,25.17
515,25.36
516,25.56
517,25.55
518,25.49
519,25.41
520,25.24
521,25.2
522,25.26
523,25.07
524,25.25
525,25.13
526,25.24
527,25.03
528,24.53
529,24.67
530,24.83
531,24.82
532,24.94
533,24.94
534,24.82
535,24.97
536,25.24
537,25.42
538,25.33
539,25.37
540,25.46
541,25.43
542,25.34
543,25.38
544,25.19
545,25.28
546,25.12
547,25.12
548,24.82
549,24.84
550,24.48
551,24.9
552,24.64
553,24.78
554,24.79
555,25.05
556,24.98
557,24.77
558,25.02
559,24.97
560,25.06
561,25.0
562,24.79
563,24.73
564,24.68
565,24.59
566,24.78
567,24.71
568,24.62
569,24.56
570,24.5
571,24.38
572,24.5
573,24.36
574,24.38
575,24.51
576,24.49
577,24.89
578,25.18
579,25.24
580,25.13
581,25.16
582,25.29
583,25.3
584,25.46
585,25.39
586,25.28
587,25.19
588,25.17
589,25.17
590,25.53
591,25.55
592,25.62
593,25.56
594,25.5
595,25.75
596,25.65
597,25.49
598,25.67
599,25.71
600,25.49
601,25.78
602,25.57
603,25.56
604,25.47
605,25.58
606,25.33
607,25.43
608,25.43
609,25.78
610,25.53
611,25.74
